sourceIndex,status,score,sourceName,seed,item,en,name,country,lat,lng,category,wikiEnTitle,wikiRuTitle,image,typeLabel,note
,unresolved,,,Domoni,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Equateur,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Kasai-Oriental,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Bouenza,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Lekoumou,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Mauke,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Mitiaro,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Atiu,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Avarua,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Manihiki,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Agnibilekrou,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Abidjan,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Aboisso,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Adzope,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Kyrenia,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Larnaca,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Nicosia,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Liberecky,,,,,,,water,,,,,no country/category candidate above threshold
,error,,,Atlantico,,,,,,,water,,,,,This operation was aborted
,error,,,Basse-Normandie,,,,,,,water,,,,,This operation was aborted
,error,,,Iles du Vent,,,,,,,water,,,,,This operation was aborted
,error,,,Iles des Saintes,,,,,,,water,,,,,This operation was aborted
,unresolved,,,Dikhil,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Tadjoura,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Elias Pina,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Distrito Nacional,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Chimborazo,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Cuscatlan,,,,,,,water,,,,,no country/category candidate above threshold
,unresolved,,,Annobon,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Wele-Nzas,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Bioko Sur,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Kie-Ntem,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Eysturoy,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Skuvoy,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Tvoroyri,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Ita-Suomen Laani,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Moyen-Ogooue,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Ogooue-Lolo,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Ogooue-Maritime,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Banjul,,,,,,,mountain,,,,,no country/category candidate above threshold
,unresolved,,,Central River,,,,,,,forest,,,,,no country/category candidate above threshold
,unresolved,,,Lower River,,,,,,,desert,,,,,no country/category candidate above threshold
,unresolved,,,Upper River,,,,,,,desert,,,,,no country/category candidate above threshold
,error,,,Aquitaine,,,,,,,forest,,,,,This operation was aborted
