status,index,name_ru,name_en,description_ru,facts_ru,description_en,facts_en,notes
imported,1528,Пещерные храмы Юньган,Yungang Grottoes,yes,1,yes,1,
imported,884,Долина Кокора,Cocora Valley,yes,1,yes,1,
imported,1231,Те-Манга,Te Manga,yes,1,yes,1,
imported,1233,Чиррипо-Гранде,Cerro Chirripó,yes,1,yes,1,
imported,1243,Гуантанамо (залив),Guantánamo Bay,yes,1,yes,1,
imported,1239,Туркино (пик),Pico Turquino,yes,1,yes,1,
imported,1237,Сьерра-Маэстра,Sierra Maestra,yes,1,yes,1,
imported,1006,Долина Виньялес,Vinales Valley,yes,1,yes,1,
imported,1241,Юкатанский пролив,Yucatán Channel,yes,1,yes,1,
imported,1240,Сапата (болото),Zapata Swamp,yes,1,yes,1,
imported,1567,Древний город Пафос,Paphos,yes,1,yes,1,
imported,1246,Педиеос,Pedieos,yes,1,yes,1,
imported,1229,Итомбве (горы),Itombwe Mountains,yes,1,yes,1,
imported,729,Мёнс Клинт,Møns Klint,yes,1,yes,1,
imported,728,Стевнс-Клинт,Stevns Klint,yes,1,yes,1,
imported,1250,Ардукоба,Ardoukoba,yes,1,yes,1,
imported,1251,Данакиль (пустыня),Danakil Desert,yes,1,yes,1,
imported,1253,Гаити (остров),Hispaniola,yes,1,yes,1,
imported,1255,Дуарте (гора),Pico Duarte,yes,1,yes,1,
imported,1256,Сангай (вулкан),Sangay,yes,1,yes,1,
imported,1601,Раннехристианские памятники в Абу-Мена,Abu Mena,yes,1,yes,1,
imported,1263,Биоко,Bioko,yes,1,yes,1,
imported,891,Пико-Басиле,Pico Basilé,yes,1,yes,1,
imported,1268,Набро,Nabro Volcano,yes,1,yes,1,
imported,1265,Рас-Дашэн,Ras Dashen,yes,1,yes,1,
imported,1607,Археологические памятники Тийа,Tiya,yes,1,yes,1,
imported,1273,Слаттаратиндур,Slættaratindur,yes,1,yes,1,
imported,1270,Стреймой,Streymoy,yes,1,yes,1,
imported,2390,Афины,Athens,yes,1,yes,1,
imported,1720,Остров Делос,Delos,yes,1,yes,1,
imported,1287,Эвбея,Euboea,yes,1,yes,1,
imported,1285,Корисия (озеро),Korission Lagoon,yes,1,yes,1,
imported,1284,Лефка-Ори,Lefka Ori,yes,1,yes,1,
imported,1290,Акатенанго,Acatenango,yes,1,yes,1,
imported,1730,Город Антигуа-Гватемала (Старая Гватемала),Antigua Guatemala,yes,1,yes,1,
imported,1291,Атитлан (вулкан),Volcán Atitlán,yes,1,yes,1,
imported,1299,Массиф-дю-Зиама,Ziama Massif,yes,1,yes,1,
imported,1300,Гвианское плоскогорье,Guiana Highlands,yes,1,yes,1,
imported,1304,Альпы,Alps,yes,1,yes,1,
imported,1305,Карпаты,Carpathian Mountains,yes,1,yes,1,
imported,1307,Тиса,Tisza,yes,1,yes,1,
imported,1308,Задьва,Zagyva,yes,1,yes,1,
imported,1306,Зенгё,Zengő,yes,1,yes,1,
imported,1310,Фаградальсфьядль,Fagradalsfjall,yes,1,yes,1,
imported,1309,Майлифедль,Mælifell,yes,1,yes,1,
imported,2372,Рейкьявик,Reykjavik,yes,1,yes,1,
imported,746,Суртсей,Surtsey,yes,1,yes,1,
imported,1750,Пещерные храмы в Аджанте,Ajanta Caves,yes,1,yes,1,
